Object ID,Código SIG,ID Tipo,Morada,Designação,Tipologia,MOBILIDADE_REDUZIDA,GlobalID,x,y
397,3394,4,Rua 8 do Cemitério dos Olivais,Bica 9 no Cemitério dos Olivais,Bica,,a21bc90e-74e6-49ae-90b1-f737befc3ade,-1013890.40482848,4687899.65265271
398,3395,4,Rua 10 do Cemitério dos Olivais,Bica 10 no Cemitério dos Olivais,Bica,,e8a82d37-39cf-47a5-855c-73c63df39292,-1013924.08282355,4687905.32553808
399,3396,4,Rua 12 do Cemitério dos Olivais,Bica 11 no Cemitério dos Olivais,Bica,,2fb40e9b-2143-424b-ab92-6c36f4fa4b04,-1013955.30877807,4687868.52880635
400,3397,4,Rua 12 do Cemitério dos Olivais,Bica 12 no Cemitério dos Olivais,Bica,,ff425cff-0765-4238-b189-2ea62ec2bf21,-1013959.60786468,4687910.50529027
401,33100,4,Rua 12 do Cemitério dos Olivais,Bica 14 no Cemitério dos Olivais,Bica,,7f1237b1-c5c4-4166-8b13-91b81fd3a513,-1013981.60879241,4687965.20601252
402,817,4,Caminho Pedreiras,Bebedouro 1 no Parque Recreativo do Alto da Serafina,Bebedouro,NÃO,03c5f352-c925-486b-87f3-750535893ec1,-1021768.0528504,4683707.70940917
403,818,4,Caminho Pedreiras,Bebedouro 2 no Parque Recreativo do Alto da Serafina,Bebedouro,NÃO,4c6307d9-0f0c-4d32-ba01-5fcc872cfd0b,-1021664.13172976,4683679.47503535
404,819,4,Caminho Pedreiras,Bebedouro 3 no Parque Recreativo do Alto da Serafina,Bebedouro,NÃO,0875b23b-f156-4c6b-a57c-694830fdabd7,-1021681.90319517,4683629.64490083
405,820,4,Caminho Pedreiras,Bebedouro 4 no Parque Recreativo do Alto da Serafina,Bebedouro,NÃO,e23fab8f-b4c6-408c-a4f2-72d9e59caaf3,-1021487.32377929,4683596.59826284
406,4507,4,Avenida da Liberdade,Lago Nascente-Sul da Avenida da Liberdade,Lago,,dae00d52-686b-421f-bc62-8ee087f4af5e,-1017814.31452722,4681325.01672519
407,918,4,Campo Grande,Bebedouro 5 no Jardim do Campo Grande,Bebedouro,NÃO,bb8277f1-df00-44b8-8014-7883ae2edcc6,-1018986.91710934,4686972.90282988
408,2407,4,Campo dos Mártires da Pátria,Bebedouro junto do Parque Infantil do Jardim Braancamp Freire,Bebedouro,NÃO,48713459-d724-4716-bfbc-9ca4acd4c7ff,-1017418.58783983,4682062.99830013
409,2408,4,Campo dos Mártires da Pátria,Bebedouro no Jardim Braancamp Freire 1,Bebedouro,NÃO,05abbfc5-4555-4eca-8a31-f18989bafada,-1017469.94387345,4681954.75394468
410,602,4,Avenida Almirante Reis,Bebedouro no Jardim António Feijó,Bebedouro,NÃO,3612c774-59c8-4913-9a54-6fbc4cd60534,-1016892.7153147,4682305.31143294
411,4407,4,Alameda Dom Afonso Henriques,Bebedouro na Alameda Dom Afonso Henriques,Bebedouro,NÃO,2044c55b-8923-4c38-b699-a7d71e25c607,-1016493.93711081,4684061.48140142
